   1.89999998             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03  -684.619       6.63908       13.2712       6.63908       13.2712       0.00000       0.00000       19.9103       6.63908       6.63908       6.63214       0.00000       0.00000       0.00000    
  0.109648E-03  -640.397       6.20893       12.4107       6.20893       12.4107       0.00000       0.00000       18.6197       6.20893       6.20893       6.20180       0.00000       0.00000       0.00000    
  0.120226E-03  -600.620       5.82186       11.6364       5.82186       11.6364       0.00000       0.00000       17.4582       5.82186       5.82186       5.81452       0.00000       0.00000       0.00000    
  0.131825E-03  -562.499       5.45083       10.8941       5.45083       10.8941       0.00000       0.00000       16.3450       5.45083       5.45084       5.44329       0.00000       0.00000       0.00000    
  0.144543E-03  -526.749       5.10279       10.1978       5.10279       10.1978       0.00000       0.00000       15.3006       5.10279       5.10279       5.09503       0.00000       0.00000       0.00000    
  0.158489E-03  -493.945       4.78330       9.55862       4.78330       9.55862       0.00000       0.00000       14.3419       4.78330       4.78330       4.77532       0.00000       0.00000       0.00000    
  0.173779E-03  -462.520       4.47716       8.94613       4.47716       8.94613       0.00000       0.00000       13.4233       4.47716       4.47717       4.46896       0.00000       0.00000       0.00000    
  0.190545E-03  -433.640       4.19569       8.38295       4.19569       8.38295       0.00000       0.00000       12.5786       4.19569       4.19570       4.18725       0.00000       0.00000       0.00000    
  0.208928E-03  -406.573       3.93178       7.85489       3.93178       7.85489       0.00000       0.00000       11.7867       3.93178       3.93179       3.92310       0.00000       0.00000       0.00000    
  0.229085E-03  -380.676       3.67922       7.34951       3.67922       7.34951       0.00000       0.00000       11.0287       3.67922       3.67922       3.67029       0.00000       0.00000       0.00000    
  0.251186E-03  -357.342       3.45148       6.89379       3.45148       6.89379       0.00000       0.00000       10.3453       3.45148       3.45149       3.44230       0.00000       0.00000       0.00000    
  0.275420E-03  -335.014       3.23350       6.45756       3.23350       6.45756       0.00000       0.00000       9.69105       3.23350       3.23350       3.22405       0.00000       0.00000       0.00000    
  0.301992E-03  -314.038       3.02861       6.04751       3.02861       6.04751       0.00000       0.00000       9.07612       3.02861       3.02861       3.01890       0.00000       0.00000       0.00000    
  0.331127E-03  -294.819       2.84074       5.67151       2.84074       5.67151       0.00000       0.00000       8.51226       2.84074       2.84075       2.83076       0.00000       0.00000       0.00000    
  0.363073E-03  -276.404       2.66067       5.31107       2.66067       5.31107       0.00000       0.00000       7.97174       2.66067       2.66067       2.65040       0.00000       0.00000       0.00000    
  0.398101E-03  -259.449       2.49473       4.97891       2.49473       4.97891       0.00000       0.00000       7.47364       2.49473       2.49474       2.48417       0.00000       0.00000       0.00000    
  0.436509E-03  -243.580       2.33932       4.66778       2.33932       4.66778       0.00000       0.00000       7.00710       2.33932       2.33933       2.32846       0.00000       0.00000       0.00000    
  0.478622E-03  -228.393       2.19051       4.36987       2.19051       4.36987       0.00000       0.00000       6.56038       2.19051       2.19052       2.17934       0.00000       0.00000       0.00000    
  0.524798E-03  -214.680       2.05599       4.10050       2.05599       4.10050       0.00000       0.00000       6.15649       2.05599       2.05600       2.04450       0.00000       0.00000       0.00000    
  0.575429E-03  -201.577       1.92737       3.84292       1.92737       3.84292       0.00000       0.00000       5.77029       1.92737       1.92737       1.91555       0.00000       0.00000       0.00000    
  0.630945E-03  -189.243       1.80619       3.60023       1.80619       3.60023       0.00000       0.00000       5.40642       1.80619       1.80620       1.79404       0.00000       0.00000       0.00000    
  0.691816E-03  -177.953       1.69513       3.37777       1.69513       3.37777       0.00000       0.00000       5.07289       1.69513       1.69514       1.68263       0.00000       0.00000       0.00000    
  0.758561E-03  -167.131       1.58859       3.16434       1.58859       3.16434       0.00000       0.00000       4.75293       1.58859       1.58860       1.57574       0.00000       0.00000       0.00000    
  0.831745E-03  -157.144       1.49013       2.96706       1.49013       2.96706       0.00000       0.00000       4.45720       1.49013       1.49015       1.47692       0.00000       0.00000       0.00000    
  0.911989E-03  -147.805       1.39796       2.78233       1.39796       2.78233       0.00000       0.00000       4.18029       1.39796       1.39797       1.38436       0.00000       0.00000       0.00000    
  0.999975E-03  -138.863       1.30961       2.60525       1.30961       2.60525       0.00000       0.00000       3.91487       1.30961       1.30962       1.29563       0.00000       0.00000       0.00000    
  0.109645E-02  -130.765       1.22944       2.44452       1.22944       2.44452       0.00000       0.00000       3.67396       1.22944       1.22945       1.21506       0.00000       0.00000       0.00000    
  0.120223E-02  -123.035       1.15282       2.29086       1.15282       2.29086       0.00000       0.00000       3.44368       1.15282       1.15283       1.13803       0.00000       0.00000       0.00000    
  0.131822E-02  -115.740       1.08040       2.14560       1.08040       2.14560       0.00000       0.00000       3.22601       1.08040       1.08041       1.06519       0.00000       0.00000       0.00000    
  0.144540E-02  -109.063       1.01396       2.01228       1.01396       2.01228       0.00000       0.00000       3.02624       1.01396       1.01397      0.998311       0.00000       0.00000       0.00000    
