   1.89999998             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03  -261.603       5.34134       10.6827       5.34134       10.6827       0.00000       0.00000       16.0240       5.34134       5.34136       5.34133       0.00000       0.00000       0.00000    
  0.109648E-03  -246.694       5.04163       10.0833       5.04163       10.0833       0.00000       0.00000       15.1249       5.04163       5.04165       5.04162       0.00000       0.00000       0.00000    
  0.120226E-03  -233.114       4.76845       9.53691       4.76845       9.53691       0.00000       0.00000       14.3054       4.76845       4.76848       4.76844       0.00000       0.00000       0.00000    
  0.131825E-03  -220.036       4.50529       9.01060       4.50529       9.01060       0.00000       0.00000       13.5159       4.50529       4.50532       4.50528       0.00000       0.00000       0.00000    
  0.144543E-03  -207.678       4.25648       8.51299       4.25648       8.51299       0.00000       0.00000       12.7695       4.25648       4.25652       4.25647       0.00000       0.00000       0.00000    
  0.158489E-03  -196.226       4.02576       8.05154       4.02576       8.05154       0.00000       0.00000       12.0773       4.02576       4.02580       4.02574       0.00000       0.00000       0.00000    
  0.173779E-03  -185.201       3.80355       7.60713       3.80355       7.60713       0.00000       0.00000       11.4107       3.80355       3.80360       3.80354       0.00000       0.00000       0.00000    
  0.190545E-03  -174.971       3.59718       7.19440       3.59718       7.19440       0.00000       0.00000       10.7916       3.59718       3.59723       3.59717       0.00000       0.00000       0.00000    
  0.208928E-03  -165.315       3.40224       6.80453       3.40224       6.80453       0.00000       0.00000       10.2068       3.40224       3.40230       3.40223       0.00000       0.00000       0.00000    
  0.229085E-03  -156.030       3.21470       6.42944       3.21470       6.42944       0.00000       0.00000       9.64414       3.21470       3.21476       3.21468       0.00000       0.00000       0.00000    
  0.251186E-03  -147.568       3.04355       6.08715       3.04355       6.08715       0.00000       0.00000       9.13070       3.04355       3.04361       3.04353       0.00000       0.00000       0.00000    
  0.275420E-03  -139.435       2.87892       5.75790       2.87892       5.75790       0.00000       0.00000       8.63682       2.87892       2.87899       2.87891       0.00000       0.00000       0.00000    
  0.301992E-03  -131.742       2.72307       5.44620       2.72307       5.44620       0.00000       0.00000       8.16926       2.72307       2.72315       2.72305       0.00000       0.00000       0.00000    
  0.331127E-03  -124.630       2.57877       5.15761       2.57877       5.15761       0.00000       0.00000       7.73638       2.57877       2.57886       2.57875       0.00000       0.00000       0.00000    
  0.363073E-03  -117.787       2.43980       4.87967       2.43980       4.87967       0.00000       0.00000       7.31947       2.43980       2.43989       2.43978       0.00000       0.00000       0.00000    
  0.398101E-03  -111.434       2.31056       4.62120       2.31056       4.62120       0.00000       0.00000       6.93177       2.31056       2.31067       2.31054       0.00000       0.00000       0.00000    
