   1.89999998             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03  -6.80313      0.208159E-03  0.346430E-03  0.208159E-03  0.346430E-03   0.00000       0.00000      0.554589E-03  0.208159E-03  0.207858E-03  0.138572E-03   0.00000       0.00000       0.00000    
  0.109648E-03  -6.76178      0.226326E-03  0.376617E-03  0.226326E-03  0.376617E-03   0.00000       0.00000      0.602943E-03  0.226326E-03  0.225970E-03  0.150647E-03   0.00000       0.00000       0.00000    
  0.120226E-03  -6.72058      0.247138E-03  0.411181E-03  0.247138E-03  0.411181E-03   0.00000       0.00000      0.658319E-03  0.247138E-03  0.246709E-03  0.164473E-03   0.00000       0.00000       0.00000    
  0.131825E-03  -6.67943      0.269208E-03  0.447826E-03  0.269208E-03  0.447826E-03   0.00000       0.00000      0.717033E-03  0.269208E-03  0.268695E-03  0.179130E-03   0.00000       0.00000       0.00000    
  0.144543E-03  -6.63834      0.293078E-03  0.487448E-03  0.293078E-03  0.487448E-03   0.00000       0.00000      0.780526E-03  0.293078E-03  0.292469E-03  0.194979E-03   0.00000       0.00000       0.00000    
  0.158489E-03  -6.59732      0.319805E-03  0.531787E-03  0.319805E-03  0.531787E-03   0.00000       0.00000      0.851592E-03  0.319805E-03  0.319072E-03  0.212715E-03   0.00000       0.00000       0.00000    
  0.173779E-03  -6.55632      0.348058E-03  0.578645E-03  0.348058E-03  0.578645E-03   0.00000       0.00000      0.926703E-03  0.348058E-03  0.347187E-03  0.231458E-03   0.00000       0.00000       0.00000    
  0.190545E-03  -6.51534      0.379460E-03  0.630695E-03  0.379460E-03  0.630695E-03   0.00000       0.00000      0.101015E-02  0.379460E-03  0.378417E-03  0.252278E-03   0.00000       0.00000       0.00000    
  0.208928E-03  -6.47434      0.413725E-03  0.687459E-03  0.413725E-03  0.687459E-03   0.00000       0.00000      0.110118E-02  0.413725E-03  0.412476E-03  0.274984E-03   0.00000       0.00000       0.00000    
  0.229085E-03  -6.43334      0.449866E-03  0.747312E-03  0.449866E-03  0.747312E-03   0.00000       0.00000      0.119718E-02  0.449866E-03  0.448387E-03  0.298925E-03   0.00000       0.00000       0.00000    
  0.251186E-03  -6.39226      0.491175E-03  0.815656E-03  0.491175E-03  0.815656E-03   0.00000       0.00000      0.130683E-02  0.491175E-03  0.489394E-03  0.326262E-03   0.00000       0.00000       0.00000    
  0.275420E-03  -6.35111      0.535074E-03  0.888246E-03  0.535074E-03  0.888246E-03   0.00000       0.00000      0.142332E-02  0.535074E-03  0.532948E-03  0.355298E-03   0.00000       0.00000       0.00000    
  0.301992E-03  -6.30988      0.582454E-03  0.966543E-03  0.582454E-03  0.966543E-03   0.00000       0.00000      0.154900E-02  0.582454E-03  0.579926E-03  0.386617E-03   0.00000       0.00000       0.00000    
  0.331127E-03  -6.26846      0.635610E-03  0.105429E-02  0.635610E-03  0.105429E-02   0.00000       0.00000      0.168990E-02  0.635610E-03  0.632571E-03  0.421714E-03   0.00000       0.00000       0.00000    
  0.363073E-03  -6.22694      0.691812E-03  0.114700E-02  0.691812E-03  0.114700E-02   0.00000       0.00000      0.183881E-02  0.691812E-03  0.688198E-03  0.458799E-03   0.00000       0.00000       0.00000    
  0.398101E-03  -6.18517      0.754141E-03  0.124970E-02  0.754141E-03  0.124970E-02   0.00000       0.00000      0.200384E-02  0.754141E-03  0.749818E-03  0.499879E-03   0.00000       0.00000       0.00000    
  0.436509E-03  -6.14315      0.822293E-03  0.136186E-02  0.822293E-03  0.136186E-02   0.00000       0.00000      0.218415E-02  0.822293E-03  0.817114E-03  0.544743E-03   0.00000       0.00000       0.00000    
  0.478622E-03  -6.10096      0.894190E-03  0.148010E-02  0.894190E-03  0.148010E-02   0.00000       0.00000      0.237429E-02  0.894190E-03  0.888058E-03  0.592039E-03   0.00000       0.00000       0.00000    
  0.524798E-03  -6.05827      0.976184E-03  0.161467E-02  0.976184E-03  0.161467E-02   0.00000       0.00000      0.259085E-02  0.976184E-03  0.968802E-03  0.645868E-03   0.00000       0.00000       0.00000    
  0.575429E-03  -6.01530      0.106350E-02  0.175782E-02  0.106350E-02  0.175782E-02   0.00000       0.00000      0.282132E-02  0.106350E-02  0.105469E-02  0.703127E-03   0.00000       0.00000       0.00000    
  0.630945E-03  -5.97197      0.115755E-02  0.191179E-02  0.115755E-02  0.191179E-02   0.00000       0.00000      0.306934E-02  0.115755E-02  0.114708E-02  0.764717E-03   0.00000       0.00000       0.00000    
  0.691816E-03  -5.92798      0.126327E-02  0.208447E-02  0.126327E-02  0.208447E-02   0.00000       0.00000      0.334774E-02  0.126327E-02  0.125068E-02  0.833787E-03   0.00000       0.00000       0.00000    
