   1.89999998             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03  -.195121E-12  0.195989      0.321172      0.195989      0.321172       0.00000       0.00000      0.517161      0.195989      0.192703      0.128469       0.00000       0.00000       0.00000    
  0.109648E-03  -.284199E-12  0.196195      0.321000      0.196195      0.321000       0.00000       0.00000      0.517195      0.196195      0.192600      0.128400       0.00000       0.00000       0.00000    
  0.120226E-03  -.460562E-12  0.196401      0.320749      0.196401      0.320749       0.00000       0.00000      0.517150      0.196401      0.192449      0.128299       0.00000       0.00000       0.00000    
  0.131825E-03  -.709137E-12  0.196608      0.320459      0.196608      0.320459       0.00000       0.00000      0.517067      0.196608      0.192275      0.128184       0.00000       0.00000       0.00000    
  0.144543E-03  -.106111E-11  0.196814      0.320115      0.196814      0.320115       0.00000       0.00000      0.516929      0.196814      0.192069      0.128046       0.00000       0.00000       0.00000    
  0.158489E-03  -.169842E-11  0.197021      0.319684      0.197021      0.319684       0.00000       0.00000      0.516705      0.197021      0.191810      0.127874       0.00000       0.00000       0.00000    
  0.173779E-03  -.255276E-11  0.197228      0.319206      0.197228      0.319206       0.00000       0.00000      0.516434      0.197228      0.191524      0.127682       0.00000       0.00000       0.00000    
  0.190545E-03  -.395426E-11  0.197435      0.318632      0.197435      0.318632       0.00000       0.00000      0.516067      0.197435      0.191179      0.127453       0.00000       0.00000       0.00000    
  0.208928E-03  -.622105E-11  0.197643      0.317970      0.197643      0.317970       0.00000       0.00000      0.515612      0.197643      0.190782      0.127188       0.00000       0.00000       0.00000    
  0.229085E-03  -.908261E-11  0.197850      0.317250      0.197850      0.317250       0.00000       0.00000      0.515100      0.197850      0.190350      0.126900       0.00000       0.00000       0.00000    
  0.251186E-03  -.146604E-10  0.198058      0.316371      0.198058      0.316371       0.00000       0.00000      0.514429      0.198058      0.189823      0.126548       0.00000       0.00000       0.00000    
  0.275420E-03  -.226046E-10  0.198266      0.315413      0.198266      0.315413       0.00000       0.00000      0.513679      0.198266      0.189248      0.126165       0.00000       0.00000       0.00000    
  0.301992E-03  -.337295E-10  0.198475      0.314347      0.198475      0.314347       0.00000       0.00000      0.512822      0.198475      0.188608      0.125739       0.00000       0.00000       0.00000    
  0.331127E-03  -.540302E-10  0.198683      0.313104      0.198683      0.313104       0.00000       0.00000      0.511787      0.198683      0.187863      0.125242       0.00000       0.00000       0.00000    
  0.363073E-03  -.813454E-10  0.198892      0.311768      0.198892      0.311768       0.00000       0.00000      0.510660      0.198892      0.187061      0.124707       0.00000       0.00000       0.00000    
  0.398101E-03  -.125574E-09  0.199101      0.310245      0.199101      0.310245       0.00000       0.00000      0.509346      0.199101      0.186147      0.124098       0.00000       0.00000       0.00000    
  0.436509E-03  -.197733E-09  0.199310      0.308546      0.199310      0.308546       0.00000       0.00000      0.507856      0.199310      0.185127      0.123418       0.00000       0.00000       0.00000    
  0.478622E-03  -.289292E-09  0.199519      0.306733      0.199519      0.306733       0.00000       0.00000      0.506252      0.199519      0.184040      0.122693       0.00000       0.00000       0.00000    
  0.524798E-03  -.464951E-09  0.199729      0.304617      0.199729      0.304617       0.00000       0.00000      0.504346      0.199729      0.182770      0.121847       0.00000       0.00000       0.00000    
  0.575429E-03  -.717618E-09  0.199939      0.302343      0.199939      0.302343       0.00000       0.00000      0.502282      0.199939      0.181406      0.120937       0.00000       0.00000       0.00000    
  0.630945E-03  -.106751E-08  0.200149      0.299871      0.200149      0.299871       0.00000       0.00000      0.500020      0.200149      0.179923      0.119949       0.00000       0.00000       0.00000    
  0.691816E-03  -.171047E-08  0.200359      0.297060      0.200359      0.297060       0.00000       0.00000      0.497420      0.200359      0.178236      0.118824       0.00000       0.00000       0.00000    
  0.758561E-03  -.257833E-08  0.200570      0.294076      0.200570      0.294076       0.00000       0.00000      0.494646      0.200570      0.176446      0.117630       0.00000       0.00000       0.00000    
  0.831745E-03  -.396488E-08  0.200780      0.290754      0.200780      0.290754       0.00000       0.00000      0.491535      0.200780      0.174453      0.116302       0.00000       0.00000       0.00000    
  0.911989E-03  -.624457E-08  0.200991      0.287107      0.200991      0.287107       0.00000       0.00000      0.488099      0.200991      0.172264      0.114843       0.00000       0.00000       0.00000    
  0.999975E-03  -.915056E-08  0.201202      0.283256      0.201202      0.283256       0.00000       0.00000      0.484459      0.201202      0.169954      0.113302       0.00000       0.00000       0.00000    
  0.109645E-02  -.146334E-07  0.201414      0.278883      0.201414      0.278883       0.00000       0.00000      0.480297      0.201414      0.167330      0.111553       0.00000       0.00000       0.00000    
  0.120223E-02  -.225901E-07  0.201626      0.274235      0.201626      0.274235       0.00000       0.00000      0.475860      0.201626      0.164541      0.109694       0.00000       0.00000       0.00000    
  0.131822E-02  -.334818E-07  0.201837      0.269258      0.201837      0.269258       0.00000       0.00000      0.471095      0.201837      0.161555      0.107703       0.00000       0.00000       0.00000    
  0.144540E-02  -.536035E-07  0.202049      0.263718      0.202049      0.263718       0.00000       0.00000      0.465768      0.202049      0.158231      0.105487       0.00000       0.00000       0.00000    
  0.158485E-02  -.808221E-07  0.202262      0.257903      0.202262      0.257903       0.00000       0.00000      0.460164      0.202262      0.154742      0.103161       0.00000       0.00000       0.00000    
  0.173775E-02  -.123691E-06  0.202474      0.251572      0.202474      0.251572       0.00000       0.00000      0.454046      0.202474      0.150943      0.100629       0.00000       0.00000       0.00000    
  0.190540E-02  -.194587E-06  0.202687      0.244749      0.202687      0.244749       0.00000       0.00000      0.447436      0.202687      0.146850      0.978998E-01   0.00000       0.00000       0.00000    
  0.208923E-02  -.285288E-06  0.202900      0.237629      0.202900      0.237629       0.00000       0.00000      0.440528      0.202900      0.142577      0.950514E-01   0.00000       0.00000       0.00000    
  0.229079E-02  -.453266E-06  0.203113      0.229800      0.203113      0.229800       0.00000       0.00000      0.432913      0.203113      0.137880      0.919198E-01   0.00000       0.00000       0.00000    
  0.251180E-02  -.698690E-06  0.203326      0.221608      0.203326      0.221608       0.00000       0.00000      0.424935      0.203326      0.132965      0.886433E-01   0.00000       0.00000       0.00000    
  0.275413E-02  -.103049E-05  0.203540      0.213013      0.203540      0.213013       0.00000       0.00000      0.416553      0.203540      0.127808      0.852052E-01   0.00000       0.00000       0.00000    
  0.301984E-02  -.164470E-05  0.203754      0.203763      0.203754      0.203763       0.00000       0.00000      0.407517      0.203754      0.122258      0.815053E-01   0.00000       0.00000       0.00000    
  0.331118E-02  -.247556E-05  0.203968      0.194227      0.203968      0.194227       0.00000       0.00000      0.398195      0.203968      0.116536      0.776907E-01   0.00000       0.00000       0.00000    
  0.363064E-02  -.376304E-05  0.204182      0.184188      0.204182      0.184188       0.00000       0.00000      0.388371      0.204182      0.110513      0.736753E-01   0.00000       0.00000       0.00000    
  0.398091E-02  -.589631E-05  0.204397      0.173736      0.204397      0.173736       0.00000       0.00000      0.378133      0.204397      0.104242      0.694944E-01   0.00000       0.00000       0.00000    
  0.436498E-02  -.862993E-05  0.204612      0.163050      0.204612      0.163050       0.00000       0.00000      0.367662      0.204612      0.978303E-01  0.652202E-01   0.00000       0.00000       0.00000    
  0.478610E-02  -.135790E-04  0.204827      0.151931      0.204827      0.151931       0.00000       0.00000      0.356757      0.204827      0.911586E-01  0.607724E-01   0.00000       0.00000       0.00000    
  0.524785E-02  -.208273E-04  0.205042      0.140668      0.205042      0.140668       0.00000       0.00000      0.345709      0.205042      0.844005E-01  0.562670E-01   0.00000       0.00000       0.00000    
  0.575415E-02  -.304868E-04  0.205257      0.129253      0.205257      0.129253       0.00000       0.00000      0.334510      0.205257      0.775520E-01  0.517013E-01   0.00000       0.00000       0.00000    
  0.630929E-02  -.482784E-04  0.205473      0.117777      0.205473      0.117777       0.00000       0.00000      0.323250      0.205473      0.706663E-01  0.471109E-01   0.00000       0.00000       0.00000    
  0.691799E-02  -.722389E-04  0.205689      0.106351      0.205689      0.106351       0.00000       0.00000      0.312040      0.205689      0.638106E-01  0.425404E-01   0.00000       0.00000       0.00000    
  0.758542E-02  -.108612E-03  0.205905      0.950629E-01  0.205905      0.950629E-01   0.00000       0.00000      0.300968      0.205905      0.570377E-01  0.380251E-01   0.00000       0.00000       0.00000    
  0.831724E-02  -.168494E-03  0.206121      0.841139E-01  0.206121      0.841139E-01   0.00000       0.00000      0.290235      0.206121      0.504684E-01  0.336456E-01   0.00000       0.00000       0.00000    
  0.911966E-02  -.245024E-03  0.206338      0.733908E-01  0.206338      0.733908E-01   0.00000       0.00000      0.279728      0.206338      0.440345E-01  0.293563E-01   0.00000       0.00000       0.00000    
  0.999950E-02  -.379284E-03  0.206554      0.633713E-01  0.206554      0.633713E-01   0.00000       0.00000      0.269926      0.206554      0.380228E-01  0.253485E-01   0.00000       0.00000       0.00000    
  0.109642E-01  -.554173E-03  0.206771      0.537347E-01  0.206771      0.537347E-01   0.00000       0.00000      0.260506      0.206771      0.322408E-01  0.214939E-01   0.00000       0.00000       0.00000    
  0.120220E-01  -.826272E-03  0.206989      0.448908E-01  0.206989      0.448908E-01   0.00000       0.00000      0.251879      0.206989      0.269345E-01  0.179563E-01   0.00000       0.00000       0.00000    
  0.131819E-01  -.123907E-02  0.207206      0.368730E-01  0.207206      0.368730E-01   0.00000       0.00000      0.244079      0.207206      0.221238E-01  0.147492E-01   0.00000       0.00000       0.00000    
  0.144536E-01  -.186052E-02  0.207424      0.297386E-01  0.207424      0.297386E-01   0.00000       0.00000      0.237162      0.207424      0.178431E-01  0.118954E-01   0.00000       0.00000       0.00000    
  0.158481E-01  -.276596E-02  0.207642      0.234590E-01  0.207642      0.234590E-01   0.00000       0.00000      0.231101      0.207642      0.140754E-01  0.938359E-02   0.00000       0.00000       0.00000    
  0.173770E-01  -.407523E-02  0.207860      0.180430E-01  0.207860      0.180430E-01   0.00000       0.00000      0.225903      0.207860      0.108258E-01  0.721720E-02   0.00000       0.00000       0.00000    
  0.190535E-01  -.603314E-02  0.208078      0.135546E-01  0.208078      0.135546E-01   0.00000       0.00000      0.221633      0.208078      0.813276E-02  0.542184E-02   0.00000       0.00000       0.00000    
  0.208917E-01  -.892022E-02  0.208297      0.992364E-02  0.208297      0.992364E-02   0.00000       0.00000      0.218221      0.208297      0.595418E-02  0.396946E-02   0.00000       0.00000       0.00000    
  0.229073E-01  -.130469E-01  0.208516      0.702625E-02  0.208516      0.702625E-02   0.00000       0.00000      0.215542      0.208516      0.421575E-02  0.281050E-02   0.00000       0.00000       0.00000    
  0.251174E-01  -.188927E-01  0.208735      0.478372E-02  0.208735      0.478372E-02   0.00000       0.00000      0.213519      0.208735      0.287023E-02  0.191349E-02   0.00000       0.00000       0.00000    
  0.275406E-01  -.274354E-01  0.208954      0.315506E-02  0.208954      0.315506E-02   0.00000       0.00000      0.212109      0.208954      0.189304E-02  0.126202E-02   0.00000       0.00000       0.00000    
  0.301976E-01  -.396637E-01  0.209174      0.200713E-02  0.209174      0.200713E-02   0.00000       0.00000      0.211181      0.209174      0.120428E-02  0.802852E-03   0.00000       0.00000       0.00000    
  0.331110E-01  -.566482E-01  0.209393      0.121302E-02  0.209393      0.121302E-02   0.00000       0.00000      0.210606      0.209393      0.727810E-03  0.485207E-03   0.00000       0.00000       0.00000    
  0.363055E-01  -.799723E-01  0.209613      0.688710E-03  0.209613      0.688710E-03   0.00000       0.00000      0.210302      0.209613      0.413226E-03  0.275484E-03   0.00000       0.00000       0.00000    
  0.398081E-01  -.112826      0.209834      0.375414E-03  0.209834      0.375414E-03   0.00000       0.00000      0.210209      0.209834      0.225248E-03  0.150166E-03   0.00000       0.00000       0.00000    
  0.436487E-01  -.157832      0.210054      0.194678E-03  0.210054      0.194678E-03   0.00000       0.00000      0.210249      0.210054      0.116807E-03  0.778712E-04   0.00000       0.00000       0.00000    
  0.478598E-01  -.217640      0.210275      0.931955E-04  0.210275      0.931955E-04   0.00000      0.135525E-19  0.210368      0.210275      0.559173E-04  0.372782E-04   0.00000       0.00000       0.00000    
  0.524772E-01  -.295892      0.210496      0.402188E-04  0.210496      0.402188E-04   0.00000      0.677626E-20  0.210536      0.210496      0.241313E-04  0.160875E-04   0.00000       0.00000       0.00000    
  0.575400E-01  -.399702      0.210717      0.165523E-04  0.210717      0.165523E-04   0.00000      0.101644E-19  0.210733      0.210717      0.993141E-05  0.662094E-05   0.00000       0.00000       0.00000    
  0.630913E-01  -.532495      0.210938      0.637056E-05  0.210938      0.637056E-05   0.00000      0.101644E-19  0.210945      0.210938      0.382233E-05  0.254822E-05   0.00000       0.00000       0.00000    
  0.691782E-01  -.696743      0.211160      0.216033E-05  0.211160      0.216033E-05   0.00000      0.101644E-19  0.211162      0.211160      0.129620E-05  0.864133E-06   0.00000       0.00000       0.00000    
  0.758523E-01  -.895035      0.211382      0.610878E-06  0.211382      0.610878E-06   0.00000      0.995264E-20  0.211382      0.211382      0.366527E-06  0.244351E-06   0.00000       0.00000       0.00000    
  0.831703E-01  -1.13195      0.211604      0.165169E-06  0.211604      0.165169E-06   0.00000      0.100056E-19  0.211604      0.211604      0.991017E-07  0.660678E-07   0.00000       0.00000       0.00000    
  0.911943E-01  -1.40108      0.211826      0.410570E-07  0.211826      0.410570E-07   0.00000      0.999896E-20  0.211826      0.211826      0.246342E-07  0.164228E-07   0.00000       0.00000       0.00000    
  0.999925E-01  -1.69250      0.212049      0.834394E-08  0.212049      0.834394E-08   0.00000      0.100006E-19  0.212049      0.212049      0.500637E-08  0.333758E-08   0.00000       0.00000       0.00000    
  0.109639      -1.99249      0.212271      0.114191E-08  0.212271      0.114191E-08   0.00000      0.999999E-20  0.212271      0.212271      0.685147E-09  0.456765E-09   0.00000       0.00000       0.00000    
  0.120217      -2.27814      0.212494      0.158592E-09  0.212494      0.158592E-09   0.00000      0.999999E-20  0.212494      0.212494      0.951550E-10  0.634367E-10   0.00000       0.00000       0.00000    
  0.131815      -2.52138      0.212718      0.165372E-10  0.212718      0.165372E-10   0.00000      0.100000E-19  0.212718      0.212718      0.992234E-11  0.661490E-11   0.00000       0.00000       0.00000    
  0.144533      -2.68701      0.212941      0.146295E-11  0.212941      0.146295E-11   0.00000      0.100000E-19  0.212941      0.212941      0.877756E-12  0.585199E-12   0.00000       0.00000       0.00000    
  0.158477      -2.74857      0.213165      0.883529E-13  0.213165      0.883529E-13   0.00000      0.100000E-19  0.213165      0.213165      0.530062E-13  0.353467E-13   0.00000       0.00000       0.00000    
  0.173766      -2.67810      0.213389      0.444090E-14  0.213389      0.444089E-14   0.00000      0.100000E-19  0.213389      0.213389      0.266453E-14  0.177636E-14   0.00000       0.00000       0.00000    
  0.190530      -2.47531      0.213613      0.166538E-15  0.213613      0.166528E-15   0.00000      0.100000E-19  0.213613      0.213613      0.111017E-15  0.555112E-16   0.00000       0.00000       0.00000    
  0.208912      -2.14845      0.213838      0.500000E-20  0.213838      -.500000E-20   0.00000      0.100000E-19  0.213838      0.213838      -.500000E-20   0.00000       0.00000       0.00000       0.00000    
  0.229067      -1.73890      0.214062      -.693389E-17  0.214062      -.694389E-17   0.00000      0.100000E-19  0.214062      0.214062      -.694389E-17   0.00000       0.00000       0.00000       0.00000    
  0.251167      -1.29659      0.214287      -.138728E-16  0.214287      -.138828E-16   0.00000      0.100000E-19  0.214287      0.214287      -.138828E-16   0.00000       0.00000       0.00000       0.00000    
  0.275399      -.878488      0.214512      0.500000E-20  0.214512      -.500000E-20   0.00000      0.100000E-19  0.214512      0.214512      -.500000E-20   0.00000       0.00000       0.00000       0.00000    
  0.301969      -.534090      0.214738      -.693389E-17  0.214738      -.694389E-17   0.00000      0.100000E-19  0.214738      0.214738      -.694389E-17   0.00000       0.00000       0.00000       0.00000    
  0.331102      -.283094      0.214963      -.693389E-17  0.214963      -.694389E-17   0.00000      0.100000E-19  0.214963      0.214963      -.694389E-17   0.00000       0.00000       0.00000       0.00000    
  0.363046      -.129708      0.215189      -.693389E-17  0.215189      -.694389E-17   0.00000      0.100000E-19  0.215189      0.215189      -.694389E-17   0.00000       0.00000       0.00000       0.00000    
